evict times: 100, mal rules: 0, norm rules: 100
evict times: 120, mal rules: 0, norm rules: 120
evict times: 140, mal rules: 0, norm rules: 140
evict times: 160, mal rules: 0, norm rules: 160
evict times: 180, mal rules: 0, norm rules: 180
evict times: 200, mal rules: 0, norm rules: 200
evict times: 220, mal rules: 0, norm rules: 220
evict times: 240, mal rules: 0, norm rules: 240
evict times: 260, mal rules: 0, norm rules: 260
evict times: 280, mal rules: 0, norm rules: 280
evict times: 300, mal rules: 0, norm rules: 300
evict times: 320, mal rules: 0, norm rules: 320
evict times: 340, mal rules: 0, norm rules: 340
evict times: 360, mal rules: 0, norm rules: 360
evict times: 380, mal rules: 0, norm rules: 380
evict times: 400, mal rules: 0, norm rules: 400
evict times: 420, mal rules: 0, norm rules: 420
evict times: 440, mal rules: 0, norm rules: 440
evict times: 460, mal rules: 0, norm rules: 460
evict times: 480, mal rules: 0, norm rules: 480
evict times: 500, mal rules: 0, norm rules: 500
evict times: 520, mal rules: 0, norm rules: 520
evict times: 540, mal rules: 0, norm rules: 540
evict times: 560, mal rules: 0, norm rules: 560
evict times: 580, mal rules: 0, norm rules: 580
evict times: 600, mal rules: 0, norm rules: 600
evict times: 620, mal rules: 0, norm rules: 620
evict times: 640, mal rules: 0, norm rules: 640
evict times: 660, mal rules: 0, norm rules: 660
evict times: 680, mal rules: 0, norm rules: 680
evict times: 700, mal rules: 0, norm rules: 700
evict times: 720, mal rules: 0, norm rules: 720
evict times: 740, mal rules: 0, norm rules: 740
evict times: 760, mal rules: 0, norm rules: 760
evict times: 780, mal rules: 0, norm rules: 780
evict times: 800, mal rules: 0, norm rules: 800
evict times: 820, mal rules: 0, norm rules: 820
